P[ (x=9,y=6) | steps=1 ] = 0.0
P[ (x=6,y=9) | steps=1 ] = 0.0
P[ (x=9,y=8) | steps=1 ] = 0.0
P[ (x=8,y=5) | steps=1 ] = 0.0
P[ (x=7,y=7) | steps=2 ] = 0.1875
P[ (x=8,y=4) | steps=2 ] = 0.0
P[ (x=6,y=9) | steps=1 ] = 0.0
P[ (x=3,y=8) | steps=1 ] = 0.0
P[ (x=8,y=8) | steps=0 ] = 0.0
P[ (x=9,y=5) | steps=0 ] = 0.0
P[ (x=6,y=8) | steps=0 ] = 0.0
P[ (x=9,y=7) | steps=0 ] = 0.0
P[ (x=8,y=4) | steps=0 ] = 0.0
P[ (x=7,y=6) | steps=1 ] = 0.375
P[ (x=4,y=9) | steps=1 ] = 0.0
P[ (x=7,y=8) | steps=1 ] = 0.0
P[ (x=5,y=7) | steps=2 ] = 0.359375
P[ (x=8,y=6) | steps=2 ] = 0.0
P[ (x=8,y=4) | steps=0 ] = 0.0
P[ (x=9,y=1) | steps=0 ] = 0.0
P[ (x=9,y=3) | steps=0 ] = 0.0
P[ (x=8,y=0) | steps=0 ] = 0.0
P[ (x=7,y=2) | steps=1 ] = 0.5
P[ (x=8,y=6) | steps=0 ] = 0.0
P[ (x=9,y=3) | steps=0 ] = 0.0
P[ (x=9,y=5) | steps=0 ] = 0.0
P[ (x=8,y=2) | steps=0 ] = 0.0
P[ (x=7,y=4) | steps=1 ] = 0.5
P[ (x=8,y=0) | steps=0 ] = 0.0
P[ (x=8,y=2) | steps=0 ] = 0.0
P[ (x=5,y=-1) | steps=0 ] = 0.0
P[ (x=7,y=-1) | steps=0 ] = 0.0
P[ (x=6,y=1) | steps=1 ] = 0.5
P[ (x=5,y=3) | steps=2 ] = 0.75
P[ (x=8,y=5) | steps=1 ] = 0.0
P[ (x=9,y=2) | steps=1 ] = 0.0
P[ (x=9,y=4) | steps=1 ] = 0.0
P[ (x=8,y=1) | steps=1 ] = 0.0
P[ (x=7,y=3) | steps=2 ] = 0.40625
P[ (x=6,y=5) | steps=3 ] = 0.39453125
P[ (x=3,y=8) | steps=3 ] = 0.0
P[ (x=7,y=9) | steps=2 ] = 0.0
P[ (x=4,y=8) | steps=2 ] = 0.0
P[ (x=8,y=6) | steps=2 ] = 0.0
P[ (x=5,y=9) | steps=2 ] = 0.0
P[ (x=8,y=8) | steps=2 ] = 0.0
P[ (x=5,y=5) | steps=2 ] = 0.65625
P[ (x=8,y=7) | steps=1 ] = 0.0
P[ (x=9,y=4) | steps=1 ] = 0.0
P[ (x=9,y=6) | steps=1 ] = 0.0
P[ (x=8,y=3) | steps=1 ] = 0.0
P[ (x=7,y=5) | steps=2 ] = 0.359375
P[ (x=6,y=7) | steps=3 ] = 0.19921875
P[ (x=3,y=8) | steps=1 ] = 0.0
P[ (x=1,y=8) | steps=1 ] = 0.0
P[ (x=2,y=6) | steps=2 ] = 0.5
P[ (x=-1,y=1) | steps=0 ] = 0.0
P[ (x=-1,y=-1) | steps=0 ] = 0.0
P[ (x=3,y=-1) | steps=0 ] = 0.0
P[ (x=0,y=-2) | steps=0 ] = 0.0
P[ (x=2,y=-2) | steps=0 ] = 0.0
P[ (x=1,y=0) | steps=1 ] = 0.375
P[ (x=1,y=-1) | steps=0 ] = 0.0
P[ (x=5,y=-1) | steps=0 ] = 0.0
P[ (x=2,y=-2) | steps=0 ] = 0.0
P[ (x=4,y=-2) | steps=0 ] = 0.0
P[ (x=3,y=0) | steps=1 ] = 0.5
P[ (x=2,y=2) | steps=2 ] = 0.65625
P[ (x=3,y=-1) | steps=0 ] = 0.0
P[ (x=7,y=-1) | steps=0 ] = 0.0
P[ (x=4,y=-2) | steps=0 ] = 0.0
P[ (x=6,y=-2) | steps=0 ] = 0.0
P[ (x=5,y=0) | steps=1 ] = 0.5
P[ (x=4,y=2) | steps=2 ] = 0.75
P[ (x=3,y=4) | steps=3 ] = 0.62109375
P[ (x=7,y=8) | steps=1 ] = 0.0
P[ (x=8,y=5) | steps=1 ] = 0.0
P[ (x=5,y=8) | steps=1 ] = 0.0
P[ (x=8,y=7) | steps=1 ] = 0.0
P[ (x=6,y=6) | steps=2 ] = 0.375
